SAMPLE_ID	brca_metabric_mutations	brca_metabric_cna	brca_metabric_mrna
MB-0576	METABRIC_173	METABRIC_173	METABRIC_173
MB-0577	METABRIC_173	METABRIC_173	METABRIC_173
MB-0578	METABRIC_173	METABRIC_173	METABRIC_173
MB-0579	METABRIC_173	METABRIC_173	METABRIC_173
MB-0580	METABRIC_173	METABRIC_173	METABRIC_173
MB-0581	METABRIC_173	METABRIC_173	METABRIC_173
MB-0582	METABRIC_173	METABRIC_173	METABRIC_173
MB-0583	METABRIC_173	METABRIC_173	METABRIC_173
MB-0584	METABRIC_173	METABRIC_173	METABRIC_173
MB-0585	METABRIC_173	METABRIC_173	METABRIC_173
MB-0586	METABRIC_173	METABRIC_173	METABRIC_173
MB-0587	METABRIC_173	METABRIC_173	METABRIC_173
MB-0588	METABRIC_173	METABRIC_173	METABRIC_173
MB-0589	METABRIC_173	METABRIC_173	METABRIC_173
MB-0590	METABRIC_173	METABRIC_173	METABRIC_173
MB-0591	METABRIC_173	METABRIC_173	METABRIC_173
MB-0592	METABRIC_173	METABRIC_173	METABRIC_173
MB-0593	METABRIC_173	METABRIC_173	METABRIC_173
MB-0594	METABRIC_173	METABRIC_173	METABRIC_173
MB-0596	METABRIC_173	METABRIC_173	METABRIC_173
MB-0597	METABRIC_173	METABRIC_173	METABRIC_173
MB-0598	METABRIC_173	METABRIC_173	METABRIC_173
MB-0599	METABRIC_173	METABRIC_173	METABRIC_173
MB-0600	METABRIC_173	METABRIC_173	METABRIC_173
MB-0601	METABRIC_173	METABRIC_173	METABRIC_173
MB-0603	METABRIC_173	METABRIC_173	METABRIC_173
MB-0605	METABRIC_173	METABRIC_173	METABRIC_173
MB-0606	METABRIC_173	METABRIC_173	METABRIC_173
MB-0607	METABRIC_173	METABRIC_173	METABRIC_173
MB-0608	METABRIC_173	METABRIC_173	METABRIC_173
MB-0609	METABRIC_173	METABRIC_173	METABRIC_173
MB-0610	METABRIC_173	METABRIC_173	METABRIC_173
MB-0611	METABRIC_173	METABRIC_173	METABRIC_173
